PartitionKey,RowKey,Timestamp,definition
adjective:0,able,2016-01-30T04:45:28.194Z," (usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""  "
adjective:1,unable,2016-01-30T04:45:28.393Z," (usually followed by `to') not having the necessary means or skill or know-how; ""unable to get to town without a car""; ""unable to obtain funds""  "
adjective:10,dissilient,2016-01-30T04:45:30.102Z," bursting open with force, as do some ripe seed vessels  "
adjective:100,unaccommodating,2016-01-30T04:45:44.248Z," not accommodating; ""the unaccommodating bus driver pulled out while she was banging on the door""  "
adjective:1000,lendable,2016-01-30T04:48:11.651Z," available for lending; ""lendable resources""  "
adjective:10000,positive,2016-01-30T05:13:36.020Z," greater than zero; ""positive numbers""  "
adjective:10001,minus,2016-01-30T05:13:36.213Z," on the negative side or lower end of a scale; ""minus 5 degrees""; ""a grade of B minus""  "
adjective:10002,negative,2016-01-30T05:13:36.414Z," less than zero; ""a negative number""  "
adjective:10003,positive,2016-01-30T05:13:36.614Z," reckoned, situated or tending in the direction which naturally or arbitrarily is taken to indicate increase or progress or onward motion; ""positive increase in graduating students""  "
adjective:10004,negative,2016-01-30T05:13:36.812Z," reckoned in a direction opposite to that regarded as positive; ""negative interest rates""  "
adjective:10005,positive,2016-01-30T05:13:37.013Z," indicating existence or presence of a suspected condition or pathogen; ""a positive pregnancy test""  "
adjective:10006,gram-positive,2016-01-30T05:13:37.213Z, (of bacteria) being or relating to a bacterium that retains the violet stain used in Gram's method  
adjective:10007,negative,2016-01-30T05:13:37.345Z," not indicating the presence of microorganisms or disease or a specific condition; ""the HIV test was negative""  "
adjective:10008,gram-negative,2016-01-30T05:13:37.472Z, (of bacteria) being of or relating to a bacterium that does not retain the violet stain used in Gram's method  
adjective:10009,possible,2016-01-30T05:13:37.672Z," capable of happening or existing; ""a breakthrough may be possible next year""; ""anything is possible""; ""warned of possible consequences""  "
adjective:1001,visible,2016-01-30T04:48:11.851Z," present and easily available; ""the cash on hand is adequate for current needs""; ""emergency police were on hand in case of trouble""; ""a visible supply""; ""visible resources""  "
adjective:10010,accomplishable,2016-01-30T05:13:37.872Z, capable of existing or taking place or proving true; possible to do  
adjective:10011,affirmable,2016-01-30T05:13:37.996Z," capable of being affirmed or asserted; ""a quality affirmable of every member of the family""  "
adjective:10012,attainable,2016-01-30T05:13:38.122Z," capable of being attained or accomplished; ""choose an attainable goal""; ""art is not something that is come-at-able by dint of study""  "
adjective:10013,contingent,2016-01-30T05:13:38.251Z," possible but not certain to occur; ""they had to plan for contingent expenses""  "
adjective:10014,feasible,2016-01-30T05:13:38.471Z, capable of being done with means at hand and circumstances as they are  
adjective:10015,mathematical,2016-01-30T05:13:38.663Z," statistically possible though highly improbable; ""have a mathematical chance of making the playoffs""  "
adjective:10016,impossible,2016-01-30T05:13:38.865Z," not capable of occurring or being accomplished or dealt with; ""an impossible dream""; ""an impossible situation""  "
adjective:10017,hopeless,2016-01-30T05:13:39.068Z," certain to fail; ""the situation is hopeless""  "
adjective:10018,impracticable,2016-01-30T05:13:39.268Z," not capable of being carried out or put into practice; ""refloating the sunken ship proved impracticable because of its fragility""; ""a suggested reform that was unfeasible in the prevailing circumstances""  "
adjective:10019,out,2016-01-30T05:13:39.462Z," not worth considering as a possibility; ""a picnic is out because of the weather""  "
adjective:1002,on hand,2016-01-30T04:48:11.982Z," readily available; ""there will be a wealth of information on hand from the lawyers""  "
adjective:10020,unachievable,2016-01-30T05:13:39.663Z," impossible to achieve; ""an unattainable goal""  "
adjective:10021,potent,2016-01-30T05:13:39.863Z," having a strong physiological or chemical effect; ""a potent toxin""; ""potent liquor""; ""a potent cup of tea""; ""a stiff drink""  "
adjective:10022,equipotent,2016-01-30T05:13:40.064Z, having equal strength or efficacy  
adjective:10023,multipotent,2016-01-30T05:13:40.269Z," able to many things; ""multipotent drugs""  "
adjective:10024,impotent,2016-01-30T05:13:40.462Z," lacking power or ability; ""Technology without morality is barbarous; morality without technology is impotent""- Freeman J.Dyson; ""felt impotent rage""  "
adjective:10025,effete,2016-01-30T05:13:40.661Z," deprived of vigor and the ability to be effective; ""fundamentalism has flowered because it has concluded that liberalism is effete, ineffectual and impoverished""  "
adjective:10026,ineffective,2016-01-30T05:13:40.792Z," lacking in power or forcefulness; ""an ineffectual ruler""; ""like an unable phoenix in hot ashes""  "
adjective:10027,impuissant,2016-01-30T05:13:40.919Z, lacking physical strength or vigor  
