PartitionKey,RowKey,Timestamp,list
!,punctuation,2016-01-29T23:48:17.741Z,"[""punctuation:0""]"
!0,mathsymbol,2016-01-29T23:48:12.686Z,"[""mathsymbol:4""]"
!0a,mathsymbol,2016-01-29T23:48:16.366Z,"[""mathsymbol:24""]"
!0d,mathsymbol,2016-01-29T23:48:16.114Z,"[""mathsymbol:22""]"
!0n,mathsymbol,2016-01-29T23:48:15.718Z,"[""mathsymbol:20""]"
!0p,mathsymbol,2016-01-29T23:48:16.765Z,"[""mathsymbol:26""]"
!0r,mathsymbol,2016-01-29T23:48:17.066Z,"[""mathsymbol:28""]"
!0v,mathsymbol,2016-01-29T23:48:15.320Z,"[""mathsymbol:18""]"
!1,mathsymbol,2016-01-29T23:48:12.482Z,"[""mathsymbol:3""]"
!1a,mathsymbol,2016-01-29T23:48:16.234Z,"[""mathsymbol:23""]"
!1d,mathsymbol,2016-01-29T23:48:15.916Z,"[""mathsymbol:21""]"
!1n,mathsymbol,2016-01-29T23:48:15.516Z,"[""mathsymbol:19""]"
!1p,mathsymbol,2016-01-29T23:48:16.564Z,"[""mathsymbol:25""]"
!1r,mathsymbol,2016-01-29T23:48:16.929Z,"[""mathsymbol:27""]"
!1v,mathsymbol,2016-01-29T23:48:15.117Z,"[""mathsymbol:17""]"
"""",punctuation,2016-01-29T23:48:48.669Z,"[""punctuation:0""]"
',punctuation,2016-01-29T23:48:48.467Z,"[""punctuation:0""]"
'hood,noun,2016-01-29T19:14:59.587Z,"[""noun:00,1,01,21,00,27,1,1,""]"
's gravenhage,noun,2016-01-29T19:20:46.961Z,"[""noun:99,1976""]"
'tween,adverb,2016-01-29T23:29:30.265Z,"[""adverb:1711""]"
'tween decks,adverb,2016-01-29T23:35:04.834Z,"[""adverb:3455""]"
(,punctuation,2016-01-29T23:48:48.868Z,"[""punctuation:0""]"
),punctuation,2016-01-29T23:48:49.068Z,"[""punctuation:0""]"
*0,mathsymbol,2016-01-29T23:48:12.283Z,"[""mathsymbol:2""]"
*0a,mathsymbol,2016-01-29T23:48:14.117Z,"[""mathsymbol:12""]"
*0d,mathsymbol,2016-01-29T23:48:13.775Z,"[""mathsymbol:10""]"
*0n,mathsymbol,2016-01-29T23:48:13.415Z,"[""mathsymbol:8""]"
*0p,mathsymbol,2016-01-29T23:48:14.521Z,"[""mathsymbol:14""]"
*0r,mathsymbol,2016-01-29T23:48:14.919Z,"[""mathsymbol:16""]"
*0v,mathsymbol,2016-01-29T23:48:13.084Z,"[""mathsymbol:6""]"
*1,mathsymbol,2016-01-29T23:48:12.083Z,"[""mathsymbol:1""]"
*1a,mathsymbol,2016-01-29T23:48:13.915Z,"[""mathsymbol:11""]"
*1d,mathsymbol,2016-01-29T23:48:13.618Z,"[""mathsymbol:9""]"
*1n,mathsymbol,2016-01-29T23:48:13.230Z,"[""mathsymbol:7""]"
*1p,mathsymbol,2016-01-29T23:48:14.317Z,"[""mathsymbol:13""]"
*1r,mathsymbol,2016-01-29T23:48:14.724Z,"[""mathsymbol:15""]"
*1v,mathsymbol,2016-01-29T23:48:12.885Z,"[""mathsymbol:5""]"
",",punctuation,2016-01-29T23:48:48.271Z,"[""punctuation:0""]"
.,punctuation,2016-01-29T23:48:17.190Z,"[""punctuation:0""]"
.22,noun,2016-01-29T17:50:00.682Z,"[""noun:00,1,00,3,21,04,062,17,05,05,8,""]"
.22 caliber,adjective,2016-01-29T23:22:43.110Z,"[""adjective:18119""]"
.22 calibre,adjective,2016-01-29T23:22:43.531Z,"[""adjective:18119""]"
.22-caliber,adjective,2016-01-29T23:22:43.329Z,"[""adjective:18119""]"
.22-calibre,adjective,2016-01-29T23:22:43.730Z,"[""adjective:18119""]"
.38 caliber,adjective,2016-01-29T23:22:43.857Z,"[""adjective:18120""]"
.38 calibre,adjective,2016-01-29T23:22:44.255Z,"[""adjective:18120""]"
.38-caliber,adjective,2016-01-29T23:22:44.056Z,"[""adjective:18120""]"
.38-calibre,adjective,2016-01-29T23:22:44.395Z,"[""adjective:18120""]"
.45 caliber,adjective,2016-01-29T23:22:44.567Z,"[""adjective:18121""]"
.45 calibre,adjective,2016-01-29T23:22:44.971Z,"[""adjective:18121""]"
.45-caliber,adjective,2016-01-29T23:22:44.768Z,"[""adjective:18121""]"
.45-calibre,adjective,2016-01-29T23:22:45.196Z,"[""adjective:18121""]"
0,noun,2016-01-29T21:26:16.631Z,"[""noun:01,5,04,3,25,4,06,"",""adjective:12014""]"
